# ELektron2 Java Simulation Results
# Date: 2026-03-13 19:43:59
# Integrator: DormandPrince853 (commons-math3)
# DP853 minStep: 1.0E-10  maxStep: 10.0  absTol: 1.0E-12  relTol: 1.0E-12
# Java: 25.0.2  OS: Windows 11 amd64
# Cores: 24
# Total time: 186384 ms
# Total simulations: 1000
# Detected: 37
# Detected ratio: 3.7%
# Detector: 100.0mm x 100.0mm at 1.0m
# startEnergy: 5000.0 eV
# startPos: -14663.993697025551 (reduced)
# detectionDistance: 14663.993697025551 (reduced)
# rangeMin: 1.0E-12 m
# rangeMax: 1.0E-10 m
# spin: 1
# Z: 6.0
# atomCount: 30
# atomSpacing: 735.4478411741759 (reduced) = 1.42E-10 m
# chainHalfLength: 10663.993697025551 (reduced)
#
# Columns:
# idx qx qy qz rx ry rz vx vy vz ux uy uz energyIn_eV energyOut_eV angle_deg steps elapsedMs dxZERO_reduced psi0 xDet_mm yDet_mm detected
#
13 635.8687162837468 -0.23806428086216297 14663.993697146361 635.623494601371 -1.2058361432920908 14663.993734689639 0.0016745336887899092 -6.236695179450265E-7 0.13886376879874449 -0.9599749098156518 0.243251415004573 0.1388413543602359 5000.0 4999.999996026321 87.51706217684084 1025112 9252 -335.4847363978866 1.7331920934976233 12.058823574180922 -0.00449123283445455 1
14 440.29970573879655 -0.16521629613238759 14663.993697025551 441.29560350450413 -0.25602624461087237 14663.99370368976 -2.59307723516392E-4 9.739050771989866E-8 0.13887362283599647 -0.08992776342222866 -0.9862127948440447 0.13891479801801498 5000.0 4999.999999089643 88.28015899298157 1024754 9198 -393.3817353189477 4.662854433912223 -1.867220845981838 7.012887381422496E-4 1
15 763.1213866628381 -0.28267429480849815 14663.993697025551 763.414556592047 -1.2355861649974775 14663.99374173832 0.003114886210519481 -1.1442585813794278E-6 0.13883892763531347 -0.9465339255387615 -0.29120119599131417 0.1388358428101944 5000.0 4999.999994943186 87.02098700632365 1025379 9683 -335.4221394847781 5.526738824298277 22.435251147295773 -0.008241626472260273 1
16 640.5754378738717 -0.26282086445532993 14663.993697025553 640.0228165782734 -1.0955126034210978 14663.993706521032 7.228979663100947E-4 -2.9625708526517197E-7 0.1388719832254101 -0.8251389965141951 0.5476104518211905 0.1388107691117351 5000.0 4999.999984993231 87.4987066444185 1025321 9485 -177.00121672595276 3.740905683825827 5.205498974812814 -0.002133310682143152 1
17 -418.07741881770124 0.16455131514635488 14663.993697025551 -418.7241690503262 0.9288906023331326 14663.99374409924 0.0016219461307913552 -6.428987791812467E-7 0.1388643929367445 0.7559925806353783 0.6396790643994649 0.13887372900802106 5000.0 4999.999992580055 91.6330874748929 1024841 9559 239.08057088880759 4.725461893044126 11.680072166017274 -0.004629687752094231 1
18 -53.63482481213174 0.016199354974275774 14663.993697134127 -52.95674923209309 -0.7116600950816817 14663.993669329326 0.00702815503187657 -2.820177199602287E-6 0.1386959097886022 -0.7246154343779914 -0.6750587449121204 0.13866565217531895 5000.0 4999.99999990364 90.20956333291946 1024479 9165 356.0134922952569 3.402036255882251 50.67312397740321 -0.020333528248242867 0
19 297.57344145853165 -0.15040081108172101 14663.993697025553 298.25683139500757 -0.8656501127400372 14663.99371098551 0.014515268298632724 -6.799435324017695E-6 0.13811320478071495 -0.7161054546923736 -0.6842052598551993 0.13804397830478726 5000.0 5000.00000822197 88.83746795866624 1025271 9151 500.6175144972983 2.3408405477024226 105.0968900597079 -0.04923088516274235 0
20 -155.70139876296713 0.28621399492775146 14663.993697025553 -154.72626861630224 0.5113792223968336 14663.992766694166 0.0036429277147358966 -6.76017119447978E-6 0.13882607655055682 0.22294126146024862 -0.964926008361657 0.13861815315148251 5000.0 5000.00003548756 90.60834026296412 1025274 9108 -489.90384369558694 5.703761306070293 26.24094698382719 -0.04869525497263407 1
21 -293.4690312007973 0.545230449014173 14663.993697025553 -293.9274269784582 1.4364136818524142 14663.994143579625 0.0025511696047636288 -4.75637485834875E-6 0.13885042973952844 0.8807783207808871 0.4529746800932671 0.13799814816273503 5000.0 4999.99999059964 91.14650162575757 1026534 8925 -379.37018183393934 2.419895755613988 18.373508886860527 -0.03425538449734223 1
22 165.59093474458993 -0.07931187096295897 14663.993697025553 164.81819557230688 0.5672472904148781 14663.993716211833 0.011842787147236345 -5.030984449733911E-6 0.138367983019861 0.6355379833657888 0.7595630365058172 0.13840327081797088 5000.0 4999.999998461049 89.35302356005374 1025080 9855 314.0455025894437 4.479528497966186 85.58907117650519 -0.036359454983251265 0
