# ELektron2 ROCm/HIP Simulation Results
# Date: 2026-03-11 22:32:31
# Integrator: DP853 (ROCm/HIP, GPU: AMD Instinct MI300X VF)
# DP853 absTol: 9.9999999999999998e-13  relTol: 9.9999999999999998e-13  minStep: 1e-10  maxStep: 10
# Kernel time: 787949 ms
# Total time: 788022 ms
# Total simulations: 100000
# Detected: 3608
# Detected ratio: 3.6080000000000001%
# Detector: 100mm x 100mm at 1m
# startEnergy: 4990 eV
# startPos: -14663.993697025551 (reduced)
# detectionDistance: 14663.993697025551 (reduced)
# rangeMin: 9.9999999999999998e-13 m
# rangeMax: 1e-10 m
# spin: 1
# Z: 6
# alpha: 0.0072992700729926996
# reducedBohr: 274.49813790303745
# zitterRadius: 1.93079634e-13 m
# atomCount: 30
# atomSpacing: 735.44784117417589 (reduced) = 1.42e-10 m
# chainHalfLength: 10663.993697025551 (reduced)
# maxTime: 1000000 (reduced)
# Summary: isNaN=28 isPos=3179 isNeg=120 xyEscape=96673
#
# Columns:
# idx qx qy qz rx ry rz vx vy vz ux uy uz energyIn_eV energyOut_eV angle_deg steps apexCharge exitCode dxZERO_reduced psi0 xDet_mm yDet_mm
#
31 -709.76947840309833 -1.2408932256581283e-16 14664.000576595417 -710.51440101128617 -1.0741675894672141e-16 14664.466835573507 -0.0029644992281028927 -3.4609150386836475e-22 0.13870471146276028 -0.53055716875592751 9.3376569316879147e-17 -0.84764915536968077 4990 4989.9600550131881 92.771077526927982 1198735 24.654871863262265 0 6.1154679431330173e-11 1.9564399117696429 -21.372736346442043 -2.4951676134035581e-18
32 823.49545567241978 7.7957421384879542e-18 4031.0785856374587 823.85085197374292 4.6336605185869403e-17 4030.105320557439 0.0062817213845200292 -8.5729553754717917e-23 0.13860452978314791 0.93933328317841358 -6.9778833491671372e-17 0.34300580680586967 4990 4990.7204167084574 78.454104000593006 764876 56.169244548616859 5 -2.7015873583235592e-11 3.028897098592882 45.321183906096167 -6.1851913417869585e-19
33 -219.3948810669271 1.2105124240657137e-16 14664.011833289962 -220.25598389697964 1.7481856165768688e-16 14663.994094297499 -0.0057504839412659816 3.4545202773340462e-21 0.13861805339310432 0.020595947727959033 6.8851640535263547e-17 -0.99978787946196901 4990 4990.0251762603903 90.857163991706798 1198020 49.976054184400766 0 7.2595702697294309e-11 2.2656694278847076 -41.484379563160459 2.4921142612913754e-17
34 -529.0570069748585 -4.6604799149196617e-18 14664.015288797475 -528.02800824003953 -3.9970764335706533e-17 14663.568081766436 -0.0033401867183782481 6.7150813005019007e-23 0.13869680777977453 0.39858839068042046 -7.2772962651175695e-17 0.91712992211871236 4990 4990.0063790472459 92.066254770511236 1199140 21.057879214512074 0 -9.4649040403365985e-11 3.3116206689208449 -24.082650292008601 4.8415543284631585e-19
35 237.92837267464222 -6.2969170971637332e-17 14664.017562830972 238.1204816234563 -1.3024450721659638e-17 14663.022159070702 0.0064259469029842925 -2.3518426501749607e-21 0.13858802476458926 0.98188089658200406 -6.2863790629146754e-17 0.18949909008724383 4990 4989.9990308117212 89.070439228020007 1198896 39.188433662598456 0 8.2683031149771814e-12 1.9021921303754952 46.367259464875438 -1.6970027923912529e-17
36 -727.49938644914323 -1.5405205008432495e-13 14664.082124623632 -726.14938030473888 -1.5414654717080533e-13 14664.751034098041 -0.012113840065005399 -2.5691517241456614e-18 0.36937596450772403 -0.44397506765001626 -1.5623454501338329e-17 0.89603913929024626 4990 38934.787660889524 92.840170791609523 746418 2.2568083521256264 0 -6.2386816882083111e-11 5.5040141221781607 -32.795420463131101 -6.9553841370529615e-15
37 100.81350076092342 4.0153608224246038e-18 14664.009078592309 101.47441409592599 -8.8941798255113318e-17 14664.85842265533 -0.0044686999756212969 4.0928345687000555e-23 0.1386654211229337 -0.78921152212549073 1.8655077861520876e-17 0.61412146445710869 4990 4990.0345155220957 89.60610382324947 1198900 64.061935494134516 0 -9.9213601449532264e-11 4.1055460505364945 -32.226491214847101 2.9515899029157075e-19
38 -823.4945038509951 5.5761918407108904e-17 8162.4203824490696 -823.22783977526126 9.9708438820166128e-17 8161.4448076841009 -0.0065035594277933874 3.8060087665202835e-22 0.13859413213570454 0.96461351211116819 -6.7176721542000032e-17 0.26366792169165509 4990 4990.7083285281742 95.760993036046344 933985 64.552438426213456 5 6.0565293764617538e-11 2.6892115670043615 -46.925214852714127 2.7461543341485967e-18
39 -823.4949284055142 5.651573890457671e-17 14129.352908487721 -824.34213938244056 1.1835414556980938e-16 14129.191497656491 -0.0052494479849567151 3.2140186258620371e-22 0.13863707373037915 0.18715385608074059 5.7495147207639985e-17 -0.98233061326915039 4990 4989.962601161671 93.335571584847131 1177919 66.495357713800061 5 7.9287933923823595e-11 3.6998195090539983 -37.864676768681811 2.3182966427238997e-18
40 167.42087628206821 -2.122196708114544e-17 14664.004070232964 168.10922502875155 -1.214903786966589e-17 14663.1779112803 -0.0010961830464608453 -6.1460267854139395e-22 0.13873308494618039 0.76827480966274087 -7.8138019228382976e-17 0.64012015881999029 4990 4990.0350893267159 89.345874919119154 1198127 22.929120435836825 0 -9.7207065112299008e-11 1.1240176420911618 -7.9013816126563796 -4.430108930251358e-18
41 310.43231431153771 -1.8178603086973807e-18 14664.007567986351 311.25694838089072 -7.9473320216466967e-18 14663.290226310695 -0.0030034332625935604 2.211284002072346e-23 0.13870422908557603 0.65631862792071416 -7.8434834793792971e-17 0.75448383647400752 4990 4989.9859767627268 88.787247958359544 1198870 64.965652089906129 0 -5.1409234580457545e-11 0.77567502889299778 -21.653508926108799 1.5942441096789162e-19
42 -631.70008914585662 6.7188903900229266e-17 14664.010191376103 -631.17723197048588 -2.1416016216065944e-17 14664.925069466226 -0.00049791636805767737 1.0537242952082668e-22 0.13873530200853534 -0.86821464846123786 3.1004184010987984e-17 0.49618879709242364 4990 4989.9460357094413 92.466677584061998 1199125 57.069208363194335 0 2.7079359755415718e-11 5.6164478081206912 -3.5889666209617244 7.5952139070086071e-19
43 542.95989834080433 -4.6661551193954965e-18 14664.023528751717 543.9246818752506 -9.7988506848059735e-17 14664.576810538681 0.0042779535680161239 -1.9552486638324424e-22 0.1386711113820483 -0.49747832451835611 -1.4408911026660728e-17 0.86747640703888484 4990 4990.0107676624548 87.879497018218188 1199422 68.323882456311054 0 -9.9162576426629888e-11 1.4176601604824002 30.849637861703382 -1.4099898993710377e-18
44 -578.52450859309806 5.1270945478001072e-17 14664.004531182381 -577.47699633550963 -3.8494617969050659e-17 14664.419099070556 -0.0011814961082393313 1.4503607738345088e-22 0.13873156737013723 -0.36799290421478098 -2.6478268611537095e-17 0.92982859834347265 4990 4989.9754387634102 92.259262216586649 1199219 66.658766492519632 0 6.8734372126628448e-11 4.1324772890914527 -8.5164186539253013 1.0454439471334824e-18
45 -823.49470075643478 2.8696652278827713e-16 11644.821588064211 -824.35588987139295 3.4043965920927544e-16 11644.808793645629 -0.0048135869012721289 1.7647363672769625e-21 0.13865290804032257 0.014855048357544578 6.9278405720742512e-17 -0.99988965747092606 4990 4989.9638139194458 94.045090094574604 1074986 51.300424677810263 5 1.9443775177045325e-11 0.47422509573427923 -34.71681170850205 1.2727727043155472e-17
