# ELektron2 C++ Simulation Results
# Date: 2026-03-09 11:04:03
# Integrator: DP853 (self-contained)
# DP853 absTol: 9.9999999999999998e-13  relTol: 9.9999999999999998e-13  minStep: 1e-10  maxStep: 10
# Cores: 24
# Total time: 450289 ms
# Total simulations: 2400
# Detected: 80
# Detector: 1 m, 100 mm x 100 mm aperture
# startEnergy: 5000 eV
# startPos: -14663.993697025551 (reduced)
# detectionDistance: 14663.993697025551 (reduced)
# rangeMin: 9.9999999999999998e-13 m
# rangeMax: 1e-10 m
# spin: 1
# Z: 6
# alpha: 0.0072992700729926996
# reducedBohr: 274.49813790303745
# zitterRadius: 1.93079634e-13 m
# atomCount: 30
# atomSpacing: 735.44784117417589 (reduced) = 1.42e-10 m
# chainHalfLength: 10663.993697025551 (reduced)
# maxTime: 1000000 (reduced)
#
# Columns:
# idx qx qy qz rx ry rz vx vy vz ux uy uz energyIn_eV energyOut_eV angle_deg steps elapsedMs dxZERO_reduced psi0 xDet_mm yDet_mm
#
22 -583.91799309209819 4.3558760893781317e-17 14664.00608664539 -582.78456461917756 -1.9858349248230594e-17 14663.909537769194 -0.0049969322524925017 3.2462597839872312e-22 0.13878393648313586 0.0848756554364824 -5.850389241213018e-17 0.99639155259055423 5000 4999.9999984560563 92.280302556182747 1198378 7596 513.21148680252531 1.4633732557996413 -36.005119750293986 2.3390745833050323e-18
23 25.413656813957328 -1.2116394830973918e-17 14664.003033378005 25.247334661794167 -6.0658374789100175e-17 14664.951520130924 -0.0056131652168361617 -2.1473582031699564e-22 0.1387603788771494 -0.98497099018084844 7.9197889771572945e-17 -0.17271985438088572 5000 5000.0000016631384 89.900702842441973 1196934 8125 -489.81431277909991 6.1913367312433421 -40.452218870097937 -1.5475297923992454e-18
24 -817.91076118897047 1.2825533143752408e-16 14664.001327323942 -818.75938340926439 1.7043988209377562e-16 14664.1592317835 -0.0019847531705822308 3.3181640399976292e-22 0.13885968135236684 -0.18293171686633383 8.0470723819307393e-17 -0.98312561970435153 5000 4999.9999965456491 93.192466133619106 1198207 8227 42.291058379530035 3.4096395334408314 -14.293228612168358 2.3895806238943752e-18
25 -938.20511354875214 -3.2530997023954825e-17 14664.003870314953 -937.39313919843357 -1.2780723409524284e-16 14664.740446919637 -0.0038773728005944696 -8.7258219319443846e-23 0.13881972606009316 -0.67188237633412695 3.647643099004912e-18 0.7406578655693945 5000 4999.9999999143056 93.66080268346353 1198144 8188 -216.90897575820009 2.8447403749620714 -27.930993026999694 -6.2857219068182691e-19
26 -478.76751870786308 -5.2607162414086598e-16 14664.009605354335 -479.54123966255963 -4.5366236205985459e-16 14663.604738203718 -4.1215050825623066e-05 4.6860902775943591e-22 0.13887385884622289 0.46363380733600745 3.5297994424174309e-17 -0.88602691378353604 5000 5000.000001568168 91.869994509014916 1196809 8405 -44.52483300159529 2.0982475338283817 -0.29678048243234251 3.3743501595813924e-18
27 -1009.8782657651085 6.3409014826017278e-17 14664.0005214839 -1009.787247729974 1.1853536875717641e-16 14663.017995704333 -0.0067241062178921181 3.7012099977086641e-22 0.13871098281279109 0.99573663278457447 -5.8497837344331794e-17 0.092241846018486964 5000 4999.9999983584758 93.939617061750113 1198936 8376 392.99096931348532 0.1948583688853596 -48.475658390851379 2.668289073190361e-18
28 730.4311753501097 -6.4456189402768621e-18 14663.998504222352 731.49714920063218 -9.4199923283929461e-17 14664.361607497203 0.0067617229377699602 -2.1862082097489673e-22 0.13870915424779168 -0.32243771790505926 -2.9894409557127206e-17 0.94659068149331882 5000 5000.0000014903317 87.148386070999337 1198616 8485 -500.20537509854518 5.4293582442105457 48.747488761201282 -1.5761095376902803e-18
29 353.70237606764982 -8.0861578726053655e-17 14664.016996544673 353.57594981999256 -1.3967722804427271e-17 14663.062253137356 -8.2779499738492017e-05 -3.5727409147015023e-22 0.13887384026943256 0.99134623538622435 -4.388782290917292e-17 -0.13127316163013086 5000 5000.0000000172176 88.618269156665036 1197434 4830 460.12846907006087 5.5206761960075044 -0.59607698309407642 -2.5726522056061384e-18
30 500.88946325731894 -6.3236358845063343e-17 14664.005140183332 500.16373482497323 1.241301506632054e-17 14663.501298168898 0.0068085714279039486 -1.1898894254761418e-21 0.13870686255071868 0.57029190246051953 2.504574125344642e-17 -0.82144211304067616 5000 4999.9999999981555 88.043665540332839 1197729 4616 443.44566122179901 5.217513173666978 49.086045943937123 -8.5784466867387638e-18
31 760.46240885046325 -1.5572884415567232e-16 14664.006063868395 760.85807297575695 -2.389246000316421e-16 14664.957003442722 0.0059332905469950013 -1.4894451890287131e-21 0.13874705916397279 -0.9232700782076132 4.1594857569664216e-17 0.38415148374028346 5000 4999.9999999490256 87.031350813621714 1198153 5377 445.06039966472463 2.3003850774471624 42.763360771365782 -1.0734967631050619e-17
32 671.80951014733739 -1.15416194732502e-16 14664.008938125104 672.19262969189026 -1.9815145758636785e-16 14664.965675243027 0.003457139123981491 -8.0727141435487943e-22 0.13883082709703295 -0.92833452339176747 4.2570093012611082e-17 0.37174589922388862 5000 4999.9999999497068 87.376914204349958 1197619 4900 357.2476017984385 2.5761722461143761 24.901811768111088 -5.8147850245871809e-18
33 565.92077575577298 -7.0012575007761896e-18 14663.994406010592 567.05895855467304 -7.8753868421706688e-17 14664.027914240132 0.0023597075839985396 -1.4104265519981979e-22 0.13885381575397271 -0.029427361270910217 -5.1328877055850922e-17 0.9995669217317924 5000 5000.0000015154073 87.789907185827133 1198050 5529 -443.11283443759294 1.164395902681308 16.994186088336047 -1.0157636247442084e-18
34 -976.79621943495647 1.0933670963323723e-16 14663.996364699788 -977.39151080611987 1.8711446419433363e-16 14663.327928286248 -0.0044891660597810449 5.2913864361646828e-22 0.13880128872783792 0.74678451961483083 3.750982410800924e-18 -0.66506607269964135 5000 5000.0000002265606 93.810949096954189 1197869 5309 -100.14836636599692 0.24527991568259433 -32.342394663088598 3.8122026709276838e-18
35 -620.35083383316248 -7.4738670044670349e-18 14664.009518704139 -619.53543572549665 -1.027220228173904e-16 14664.742109019315 -0.0030493967135807672 5.2207140005882123e-23 0.13884038152903402 -0.66832539560373483 3.2773000689607619e-18 0.74386905198020992 5000 4999.9999999696765 92.422414126716987 1197945 5332 -431.00135770293411 6.1537019174800838 -21.963327095460937 3.7602273510725456e-19
36 568.88475112219419 -6.3459542659689024e-18 14664.001789681353 568.04129430133855 3.3975711016793649e-17 14664.184556667124 0.0031677437801705031 -1.6365373239115959e-22 0.13883773179030298 -0.21177327731045753 8.2255107287704413e-17 -0.97731882251676838 5000 5000.0000015186979 87.778344646464134 1198126 5112 -472.83561040196093 5.194309095180329 22.816159118437511 -1.1787410402118789e-18
37 665.37604736393939 -8.6436507965953376e-18 14664.008341677629 664.64890330834805 5.3971698541475574e-18 14664.500587320921 0.0033958991118416162 -1.5841301808119317e-22 0.1388323385903589 -0.56058597666433263 9.4388030449457606e-17 -0.82809622819209672 5000 5000.0000014958914 87.401999024389653 1198192 5449 -427.23710555791968 4.4919034017511903 24.460432967722419 -1.1410383177986316e-18
