# ELektron2 ROCm/HIP Simulation Results
# Date: 2026-03-11 21:36:14
# Integrator: DP853 (ROCm/HIP, GPU: AMD Instinct MI300X VF)
# DP853 absTol: 9.9999999999999998e-13  relTol: 9.9999999999999998e-13  minStep: 1e-10  maxStep: 10
# Kernel time: 275390 ms
# Total time: 275408 ms
# Total simulations: 10000
# Detected: 379
# Detected ratio: 3.79%
# Detector: 100mm x 100mm at 1m
# startEnergy: 5000 eV
# startPos: -14663.993697025551 (reduced)
# detectionDistance: 14663.993697025551 (reduced)
# rangeMin: 9.9999999999999998e-13 m
# rangeMax: 1e-10 m
# spin: 1
# Z: 6
# alpha: 0.0072992700729926996
# reducedBohr: 274.49813790303745
# zitterRadius: 1.93079634e-13 m
# atomCount: 30
# atomSpacing: 735.44784117417589 (reduced) = 1.42e-10 m
# chainHalfLength: 10663.993697025551 (reduced)
# maxTime: 1000000 (reduced)
# Summary: isNaN=3 isPos=1991 isNeg=32 xyEscape=7974
#
# Columns:
# idx qx qy qz rx ry rz vx vy vz ux uy uz energyIn_eV energyOut_eV angle_deg steps apexCharge exitCode dxZERO_reduced psi0 xDet_mm yDet_mm
#
31 -1017.7560003064136 6.8481145373087423e-17 14664.005026725583 -1018.5152940587614 1.4157109183789871e-16 14663.574423254078 -0.0057195459954424441 3.4703566514805659e-22 0.13875516452449754 0.4933047870273306 3.1775721946314014e-17 -0.86985653190714685 5000 4999.9364743224896 93.970249625199259 1198776 65.143309360662755 0 6.4716921671310107e-11 5.0181615826966155 -41.22041882219559 2.5010648528818302e-18
32 -1167.7497785315911 7.6907232541611495e-17 14664.021635023215 -1166.9486191791445 -1.840781796918854e-17 14664.770552820502 -0.00646192225547579 3.8389201385896909e-22 0.13872236124296122 -0.6828877540098216 4.8474260683474101e-18 0.73052331590095843 5000 4999.920968623258 94.553064651606633 1199012 63.785997760346127 0 5.6059103572474393e-11 4.7855803998921624 -46.581691643485257 2.7673405384631011e-18
33 927.54113711285595 -1.2393945054229956e-17 14664.002374321766 926.68084851535525 3.7913216181222216e-17 14664.040465511383 0.0048349762478668403 -1.6644393847330343e-22 0.13878889089856136 -0.044233883757926355 7.3465834141987116e-17 -0.99902120230809233 5000 4999.9428784677357 86.380695711479831 1198507 65.686894157535534 0 -6.475629745147954e-11 2.489088352312248 34.836911056524322 -1.1992598067157601e-18
34 -488.04997991099788 2.1209376898840971e-16 14664.016172346623 -487.99828899229902 2.7010630085368633e-16 14663.029819913294 -0.00018920483669016222 4.6076875492669143e-22 0.13887319224252828 0.99862962012075918 -5.5708543720317359e-17 0.052334318628220036 5000 4999.9602649803683 91.906223070659792 1196251 45.110940218411898 0 -9.4062628898730661e-12 2.0330228310446254 -1.3624288002232618 3.3179100119049931e-18
35 -844.49747255093666 5.5250879239517792e-17 14663.994896979793 -844.96351227020205 1.3216443006593581e-16 14663.211817807418 -0.0061171268173323334 3.4798195957634369e-22 0.13873865408897981 0.85933090617187846 -1.2809285923643613e-17 -0.51141998077092155 5000 4999.9692244296848 93.296015523210315 1198723 66.672019731328817 0 8.5485868288542634e-11 0.82162376044538865 -44.091005909637296 2.5081831870241873e-18
36 236.78923204020612 3.2829318080140847e-20 14664.007614340575 237.14027059292931 -8.1480410691742817e-17 14664.978409811014 -0.0029468037612786833 1.1312422681104434e-23 0.13884281229185244 -0.94040727895007969 4.4950125042289518e-17 0.34005021706546867 5000 5000.0157354755074 89.074888326132992 1197710 66.804044609834648 0 -8.5575407183415689e-11 3.1314833886431033 -21.224028184364336 8.1476473246057023e-20
37 -560.91611092882238 -8.7750921854760844e-16 14664.006979455367 -561.72231940180291 -8.4839605188570135e-16 14664.331453326055 -0.00091995421281467025 -9.2805284719309466e-22 0.1388701781063614 -0.373364318192621 8.9018775075236994e-17 -0.9276847991168361 5000 4999.9532569495095 92.19056532424456 1196420 22.155526279385057 0 -1.0804125737468633e-11 5.0103456399531003 -6.624562777690632 -6.6828808016815102e-18
38 223.41749567990121 7.9881416379978705e-19 14664.002146180575 222.60232373422406 6.8819978043779824e-17 14663.709022508465 -0.0044126098234176349 6.7894881478320767e-23 0.13880359852419044 0.33837380072496953 4.5761657170452205e-17 -0.94101178190549473 5000 4999.9894047517655 89.127121702710284 1197646 63.934313813836695 0 -4.6185601455088456e-11 2.3073180654379501 -31.790312861727525 4.8914352509735664e-19
39 515.35630870400041 5.3057542843518021e-17 14664.023045288963 516.40844923467739 -3.6223425454439292e-17 14664.426076237605 0.00033909861448976406 -3.8306786328212665e-22 0.13887316193258667 -0.35771190566364547 -2.7455821158557405e-17 0.93383199411457896 5000 4999.978882940698 87.987210359494213 1197675 21.755123193666645 0 6.5692373318697531e-11 3.3766385076266259 2.4417865177893265 -2.7584009606411905e-18
40 -1321.0530484381597 -1.9267705205804363e-16 14663.995992134378 -1319.9180942197645 -2.6787507776130557e-16 14664.088742842216 -0.0060076077554234233 -8.639113125396528e-22 0.13874242372695234 -0.081450452098083895 -4.8445085506881109e-17 0.99667739187379822 5000 4999.8950675954538 95.14777757504271 1198875 24.019162792759406 0 -1.1229156152155914e-11 2.5082873292003609 -43.300438280121924 -6.2267278409367152e-18
41 -1033.414094656986 6.7241377957729226e-17 14664.014319186756 -1032.2792565289033 -8.0501290989491681e-18 14664.108502744628 -0.0062077885501001743 3.6007285752592634e-22 0.13873420890092514 -0.082708593000294359 -4.8318259881741197e-17 0.99657377443727913 5000 4999.9387024063499 94.031129195829578 1198871 65.500463537718787 0 6.8642489910664039e-11 0.23893754374397494 -44.745910898827908 2.5954150773517346e-18
42 213.45906453911243 -3.4821839459378507e-14 14664.116689869272 215.16039195486661 -3.4873912110500382e-14 14664.146417290973 -0.002187799626275739 3.42311619340576e-19 0.42107993985571396 -0.017470408543072739 -3.7128070174204278e-17 0.99984738037446297 5000 52382.833556603175 89.166029565555405 646256 1.8481579617646955 0 -4.8326818008757918e-11 3.3293850021270361 -5.195687134906982 8.1293737112689701e-16
43 1059.7820257847707 8.9710174260435777e-17 14663.998925561395 1058.9850071797798 1.1707472204514247e-16 14664.344508313801 0.0039336647770780052 2.2456903944248096e-22 0.13881688021833022 -0.39780903222978969 9.0019874548549428e-17 -0.91746824128476667 5000 4999.9078160193121 85.866362897919814 1198541 38.593078563606412 0 -8.1554862825644038e-12 0.31871128380436375 28.337078105279161 1.6177358192265979e-18
44 -457.91737799331503 4.0368939962906771e-17 14664.003781948833 -456.80837601176773 -4.2558097955124744e-17 14664.247016301266 -0.0027426468169261531 2.4866191724571426e-22 0.13884700462668401 -0.21423494330275544 -3.8866869081983065e-17 0.97678216107094351 5000 5000.0164267927776 91.78861177998175 1198114 67.984306116486223 0 9.9096232898921685e-11 5.8160854934778179 -19.753013932855584 1.7909058817241901e-18
45 -234.68253768090867 3.2570310517566005e-17 14664.006452460049 -233.55530077667632 -2.6908831674209089e-17 14663.852644263237 0.002992495179729928 -7.937923521506607e-23 0.13884183784929335 0.13519438323762561 -6.0840070996610524e-17 0.99081909560592962 5000 5000.0159425808652 90.916882515271823 1197782 67.027327120458793 0 8.554797448039058e-11 4.4976443303508526 21.553266840058317 -5.7172417510944144e-19
46 1093.2742606781967 -1.308768900572482e-17 14664.020185420281 1094.3975567181217 -7.0655810025065341e-17 14663.839394665076 0.0067998527557344016 -1.8911692127142706e-22 0.13870639651789846 0.15890174395161222 -6.188322563015282e-17 0.9872944027015278 5000 4999.934775884567 85.73620837183185 1198955 65.297303942658957 0 -6.8661808385828014e-11 2.1297403491145088 49.023353835430072 -1.3634333096312808e-18
47 -799.20220664219516 -2.3917600916440945e-17 14664.013343465704 -800.01112285237809 5.913390693193033e-18 14664.331300128024 -0.0024124989513839416 7.3657865671625982e-24 0.13885202092229998 -0.3658199642485695 8.8443366226684438e-17 -0.93068563671909477 5000 4999.9351528470606 93.119586338920328 1197898 21.895825695980356 0 -3.5757659936747212e-11 2.8193608531175762 -17.37460452760676 5.3047744773440562e-20
48 -838.38238123150984 6.5497575497311409e-17 14664.000375168898 -839.2315181819215 1.2676227637536375e-16 14663.850205506023 -0.003424710718193608 2.5938028366390141e-22 0.13883085666410111 0.17414742018060539 5.8592969108779624e-17 -0.98471959368351658 5000 4999.9434502373651 93.272199573844375 1198323 64.736734933609696 0 5.6101177021681063e-11 1.3663392647194863 -24.668224344964152 1.8683186857477049e-18
49 -942.22745116942315 -7.1166208016031005e-17 14664.014383739977 -941.80460819341465 -3.8649180496823411e-17 14663.071006890026 -0.0059104947428057454 -3.8097856547181236e-22 0.13874706128193134 0.91252741215442779 -7.292495678535851e-17 0.40901555661464134 5000 4999.9291276951008 93.676451947015323 1197815 21.737201914829384 0 3.4394620868212611e-11 5.9998827816461411 -42.599062554526718 -2.745849619817686e-18
50 110.14329879645108 -3.8881188392435801e-17 14664.009187787899 111.07393747691883 -5.847279463026e-17 14663.406320086535 -0.0018233776755398595 -3.0793189850788276e-22 0.13886227853779592 0.54368965777443645 -7.6755401482412675e-17 0.83928633798563579 5000 5000.0280813481777 89.569651968441804 1196430 57.494814227314023 0 -8.2644958446452878e-11 0.97209955186769015 -13.130835060030845 -2.2175345367393563e-18
51 596.31607847446503 -5.0603030729384252e-18 14663.9996673531 597.3788449192092 -9.3210934137088827e-17 14664.37246243506 0.0052199572171826355 -2.079937358210695e-22 0.13877582144244177 -0.33100436496238417 -2.9261783429985335e-17 0.94362922308373809 5000 5000.0068943216338 87.671332466754166 1198341 68.069383445599357 0 -9.9102148618757075e-11 1.3892927656213947 37.614313235015864 -1.4987750291021432e-18
52 -192.75009798385938 3.0427271870663848e-17 14663.99740689264 -192.86782809807431 -2.1395688054540044e-17 14664.950635141928 0.0040918051948626907 -1.6488359223676999e-22 0.13881375192878126 -0.99245920292057732 7.7189000227668398e-17 -0.1225754013136343 5000 5000.0132143828878 90.753077816405778 1197762 67.116922933647785 0 7.9299527580898473e-11 4.9243173264337319 29.476944020373441 -1.1878044498167871e-18
53 1036.6321183287432 -6.8664372717229527e-18 14663.998358394076 1037.3340466866314 -1.0022409715183875e-16 14664.812047163388 0.0043412186141976441 -1.187908619191887e-22 0.13880484863716561 -0.75719246218247838 1.476305049674542e-17 0.6531918368252827 5000 4999.9162954340363 85.956355166091811 1198461 59.702738451975627 0 -3.4144260275262212e-11 1.7524917470457539 31.275698628839276 -8.5581204897032624e-19
54 1094.6399006466056 1.3478844455541707e-17 14664.014954091381 1094.3518029306069 -2.4097513418729838e-17 14664.906365474619 0.0043913890423035442 -3.9556448352952334e-23 0.1388031468222691 -0.95153828886542935 8.6155114557858089e-17 -0.30753029781981855 5000 4999.9072670786854 85.730900509388135 1198539 50.960298332952547 0 -1.8725720233443585e-11 5.2352598303636002 31.637532309887121 -2.8498235997201492e-19
